__time,/unconstrained_mpc/mpc_data/ctrl_input/force/x,/unconstrained_mpc/mpc_data/ctrl_input/force/y,/unconstrained_mpc/mpc_data/ctrl_input/force/z,/unconstrained_mpc/mpc_data/ctrl_input/torque/x,/unconstrained_mpc/mpc_data/ctrl_input/torque/y,/unconstrained_mpc/mpc_data/ctrl_input/torque/z,/unconstrained_mpc/mpc_data/delay/data,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/x,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/y,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/z,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/x,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/y,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/z,/unconstrained_mpc/mpc_data/header/stamp/nanosec,/unconstrained_mpc/mpc_data/header/stamp/sec,/unconstrained_mpc/mpc_data/robot_vel/angular/x,/unconstrained_mpc/mpc_data/robot_vel/angular/y,/unconstrained_mpc/mpc_data/robot_vel/angular/z,/unconstrained_mpc/mpc_data/robot_vel/linear/x,/unconstrained_mpc/mpc_data/robot_vel/linear/y,/unconstrained_mpc/mpc_data/robot_vel/linear/z
1731295653.229765,0.000135004,-0.000001420,-11.054946814,0.000000000,0.000000000,-0.017145763,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001688675,0.000003560,0.000000010,-0.000000000
1731295653.240918,0.000133124,-0.000001455,-11.054946835,0.000000000,0.000000000,-0.022906393,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001827096,0.000003381,0.000000009,0.000000000
1731295653.251235,0.000136662,-0.000001457,-11.054946862,0.000000000,0.000000000,-0.021348818,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001356603,0.000003156,0.000000009,0.000000000
1731295653.262031,0.000221734,-0.000001198,-11.054946853,0.000000000,0.000000000,-0.015450917,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000629762,0.000002111,0.000000006,0.000000000
1731295653.271564,0.000075861,-0.000001597,-11.054946881,0.000000000,0.000000000,-0.011464945,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000192980,0.000003483,0.000000010,0.000000001
1731295653.281768,0.000089635,-0.000001487,-11.054946875,0.000000000,0.000000000,0.000316658,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000781648,0.000003148,0.000000008,0.000000001
1731295653.292665,0.000072435,-0.000001529,-11.054946878,0.000000000,0.000000000,0.002178385,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000781648,0.000003148,0.000000008,0.000000001
1731295653.302954,0.000063702,-0.000001398,-11.054946853,0.000000000,0.000000000,0.016598027,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001781490,0.000003061,0.000000006,0.000000000
1731295653.313001,0.000029792,-0.000001417,-11.054946831,0.000000000,0.000000000,0.018987163,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001633876,0.000003237,0.000000006,-0.000000000
1731295653.323081,-0.000004336,-0.000001443,-11.054946820,0.000000000,0.000000000,0.019321573,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001350662,0.000003405,0.000000006,-0.000000000
1731295653.334577,0.000033220,-0.000001360,-11.054946811,0.000000000,0.000000000,0.013319568,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000616659,0.000002831,0.000000005,-0.000000000
1731295653.344049,-0.000058055,-0.000001534,-11.054946805,0.000000000,0.000000000,0.008637518,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000126941,0.000003606,0.000000006,-0.000000000
1731295653.354295,-0.000077818,-0.000001581,-11.054946808,0.000000000,0.000000000,0.000863522,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000516085,0.000003606,0.000000007,-0.000000000
1731295653.364455,-0.000093504,-0.000001623,-11.054946814,0.000000000,0.000000000,-0.005649448,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000936769,0.000003565,0.000000007,-0.000000000
1731295653.374544,-0.000171521,-0.000001795,-11.054946821,0.000000000,0.000000000,-0.014735586,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001482549,0.000004163,0.000000008,-0.000000000
1731295653.385257,-0.000075314,-0.000001607,-11.054946831,0.000000000,0.000000000,-0.013201904,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001079297,0.000002948,0.000000006,0.000000000
1731295653.395394,-0.000075338,-0.000001619,-11.054946835,0.000000000,0.000000000,-0.016230507,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001115757,0.000002784,0.000000006,0.000000000
1731295653.405600,-0.000146024,-0.000001765,-11.054946873,0.000000000,0.000000000,-0.016365642,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000914930,0.000003350,0.000000007,0.000000001
1731295653.415839,-0.000089119,-0.000001628,-11.054946865,0.000000000,0.000000000,-0.011424747,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000348041,0.000002582,0.000000005,0.000000000
1731295653.425932,-0.000063637,-0.000001548,-11.054946868,0.000000000,0.000000000,-0.006634072,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000099386,0.000002178,0.000000004,0.000000000
1731295653.437166,-0.000070592,-0.000001526,-11.054946868,0.000000000,0.000000000,-0.001976765,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000451346,0.000002127,0.000000004,0.000000000
1731295653.447314,-0.000102651,-0.000001529,-11.054946870,0.000000000,0.000000000,0.004884400,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000912031,0.000002336,0.000000003,0.000000000
1731295653.457498,-0.000170998,-0.000001568,-11.054946861,0.000000000,0.000000000,0.011951659,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001301762,0.000002904,0.000000004,0.000000000
1731295653.467649,-0.000128007,-0.000001470,-11.054946849,0.000000000,0.000000000,0.010381203,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000929865,0.000002302,0.000000003,0.000000000
1731295653.477809,-0.000152902,-0.000001464,-11.054946847,0.000000000,0.000000000,0.011831939,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000869036,0.000002428,0.000000002,0.000000000
1731295653.487998,-0.000267688,-0.000001526,-11.054946833,0.000000000,0.000000000,0.015911321,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001029030,0.000003465,0.000000003,-0.000000000
1731295653.498006,-0.000124822,-0.000001389,-11.054946823,0.000000000,0.000000000,0.009196189,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000299242,0.000001812,0.000000001,-0.000000000
1731295653.508471,-0.000384477,-0.000001568,-11.054946802,0.000000000,0.000000000,0.007434258,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000102213,0.000004364,0.000000003,-0.000000000
1731295653.518530,-0.000167640,-0.000001401,-11.054946821,0.000000000,0.000000000,0.003989662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000191424,0.000001905,0.000000001,-0.000000000
1731295653.529262,-0.000335161,-0.000001503,-11.054946811,0.000000000,0.000000000,-0.001872383,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000621850,0.000003510,0.000000002,-0.000000000
