__time,/unconstrained_mpc/mpc_data/ctrl_input/force/x,/unconstrained_mpc/mpc_data/ctrl_input/force/y,/unconstrained_mpc/mpc_data/ctrl_input/force/z,/unconstrained_mpc/mpc_data/ctrl_input/torque/x,/unconstrained_mpc/mpc_data/ctrl_input/torque/y,/unconstrained_mpc/mpc_data/ctrl_input/torque/z,/unconstrained_mpc/mpc_data/delay/data,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/x,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/y,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/z,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/x,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/y,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/z,/unconstrained_mpc/mpc_data/header/stamp/nanosec,/unconstrained_mpc/mpc_data/header/stamp/sec,/unconstrained_mpc/mpc_data/robot_vel/angular/x,/unconstrained_mpc/mpc_data/robot_vel/angular/y,/unconstrained_mpc/mpc_data/robot_vel/angular/z,/unconstrained_mpc/mpc_data/robot_vel/linear/x,/unconstrained_mpc/mpc_data/robot_vel/linear/y,/unconstrained_mpc/mpc_data/robot_vel/linear/z
1731295308.531547,-0.002018982,-0.005544904,-4.281767795,0.000000000,0.000000000,-0.000042519,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000949,-0.000003941,-0.000038442,0.150000001
1731295308.543295,-0.001953828,-0.005148805,-4.281767837,0.000000000,0.000000000,-0.000039946,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000974,-0.000004386,-0.000040330,0.150000001
1731295308.553452,-0.001886626,-0.004747253,-4.281767880,0.000000000,0.000000000,-0.000037325,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000998,-0.000004828,-0.000042175,0.150000002
1731295308.563159,-0.001817436,-0.004340674,-4.281767924,0.000000000,0.000000000,-0.000034661,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001021,-0.000005265,-0.000043976,0.150000002
1731295308.574645,-0.001746321,-0.003929501,-4.281767970,0.000000000,0.000000000,-0.000031956,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001043,-0.000005698,-0.000045730,0.150000002
1731295308.584234,-0.001673348,-0.003514169,-4.281768017,0.000000000,0.000000000,-0.000029212,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001063,-0.000006126,-0.000047435,0.150000003
1731295308.595162,-0.001598581,-0.003095120,-4.281768065,0.000000000,0.000000000,-0.000026434,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001083,-0.000006547,-0.000049090,0.150000003
1731295308.605710,-0.001522090,-0.002672801,-4.281768114,0.000000000,0.000000000,-0.000023623,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001101,-0.000006963,-0.000050693,0.150000004
1731295308.616091,-0.001443945,-0.002247662,-4.281768163,0.000000000,0.000000000,-0.000020783,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001119,-0.000007373,-0.000052242,0.150000004
1731295308.625684,-0.001364224,-0.001820160,-4.281768213,0.000000000,0.000000000,-0.000017917,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001135,-0.000007776,-0.000053736,0.150000004
